YEAR	CROPCODE	CROP_DESC	TOELICHTING	MON_LC	MON_LC_DESC	MON_CG	MON_CG_DESC	MON_OC	MON_OC_DESC	MON_VRU	MON_VRU_DESC	MON_RUG	MON_RUG_DESC	MON_MIDDENDETA	MON_MIDDENDETA_DESC	MON_OCNT	MON_OCNT_DESC	MON_VROEG_LAAT	MON_VROEG_LAAT_DESC	IS_VROEG	IS_LAAT	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL
2025	9565	Jongplanten voor de sierteelt	ZAAD-_EN_PLANTGOED	MON_LC_MOEILIJK_ZONDER_KLASSIFICATIE	MARKER_LANDCOVER moeilijk_zonder_klassificatie	MON_CG_MOEILIJK_ZONDER_KLASSIFICATIE	Marker cropgroup moeilijk_zonder_klassificatie	MON_OC_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof - moeilijk zonder klassificatie	MON_VRU_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring vruchtafwisseling - moeilijk zonder klassificatie	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_OVERIGE	Overige gewassen	MON_OCNT_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof aanvoer nateelt - MOEILIJK_ZONDER_KLASSIFICATIE	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
2025	9566	Zaden voor de sierteelt	ZAAD-_EN_PLANTGOED	MON_LC_MOEILIJK_ZONDER_KLASSIFICATIE	MARKER_LANDCOVER moeilijk_zonder_klassificatie	MON_CG_MOEILIJK_ZONDER_KLASSIFICATIE	Marker cropgroup moeilijk_zonder_klassificatie	MON_OC_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof - moeilijk zonder klassificatie	MON_VRU_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring vruchtafwisseling - moeilijk zonder klassificatie	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_OVERIGE	Overige gewassen	MON_OCNT_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof aanvoer nateelt - MOEILIJK_ZONDER_KLASSIFICATIE	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9568	Plantgoed en teeltmateriaal van vlinderbloemige groenten	ZAAD-_EN_PLANTGOED	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_ANDERE_SUBSIDIABELE_GEWASSEN_GROENTEN	Marker cropgroup andere_subsidiabele_gewassen_groenten	MON_OC_460	Monitoring organische koolstof aanvoer - 460	MON_VRU_VLINDERBLOEMIGEN	Monitoring vruchtafwisseling - vlinderbloemigen	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_OVERIGE	Overige gewassen	MON_OCNT_460	Monitoring organische koolstof aanvoer nateelt - 460	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	0	0	1	1	0
2025	9569	Plantgoed en teeltmateriaal van niet-vlinderbloemige groenten	ZAAD-_EN_PLANTGOED	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_ANDERE_SUBSIDIABELE_GEWASSEN_GROENTEN	Marker cropgroup andere_subsidiabele_gewassen_groenten	MON_OC_300	Monitoring organische koolstof aanvoer - 300	MON_VRU_ANDERE_SUBSIDIABEL	Monitoring vruchtafwisseling - andere subsidiabel	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_OVERIGE	Overige gewassen	MON_OCNT_300	Monitoring organische koolstof aanvoer nateelt - 300	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	0	0	1	1	0
2025	9570	Azalea	SIERPLANTEN	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_AZALEA	Marker cropgroup azalea	MON_OC_300	Monitoring organische koolstof aanvoer - 300	MON_VRU_ERICACEAE	Monitoring vruchtafwisseling - ericaceae	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_300	Monitoring organische koolstof aanvoer nateelt - 300	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9571	Begonia voor de knol	SIERPLANTEN	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_ANDERE_SUBSIDIABELE_GEWASSEN_SIERTEELT	Marker cropgroup andere_subsidiabele_gewassen_sierteelt	MON_OC_400	Monitoring organische koolstof aanvoer - 400	MON_VRU_ANDERE_SUBSIDIABEL	Monitoring vruchtafwisseling - andere subsidiabel	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_400	Monitoring organische koolstof aanvoer nateelt - 400	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9572	Bloembollen en -knollen	SIERPLANTEN	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_ANDERE_SUBSIDIABELE_GEWASSEN_SIERTEELT	Marker cropgroup andere_subsidiabele_gewassen_sierteelt	MON_OC_400	Monitoring organische koolstof aanvoer - 400	MON_VRU_ANDERE_SUBSIDIABEL	Monitoring vruchtafwisseling - andere subsidiabel	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_400	Monitoring organische koolstof aanvoer nateelt - 400	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
2025	9573	Groene kamerplanten (ficus, ...)	SIERPLANTEN	MON_LC_MOEILIJK_ZONDER_KLASSIFICATIE_NS	MARKER_LANDCOVER moeilijk_zonder_klassificatie_ns	MON_CG_MOEILIJK_ZONDER_KLASSIFICATIE_NS	Marker cropgroup moeilijk_zonder_klassificatie_ns	MON_OC_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof - moeilijk zonder klassificatie	MON_VRU_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring vruchtafwisseling - moeilijk zonder klassificatie	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof aanvoer nateelt - MOEILIJK_ZONDER_KLASSIFICATIE	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	0	1
2025	9574	Bloeiende kamerplanten (kalanchoë, ...)	SIERPLANTEN	MON_LC_MOEILIJK_ZONDER_KLASSIFICATIE_NS	MARKER_LANDCOVER moeilijk_zonder_klassificatie_ns	MON_CG_MOEILIJK_ZONDER_KLASSIFICATIE_NS	Marker cropgroup moeilijk_zonder_klassificatie_ns	MON_OC_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof - moeilijk zonder klassificatie	MON_VRU_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring vruchtafwisseling - moeilijk zonder klassificatie	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof aanvoer nateelt - MOEILIJK_ZONDER_KLASSIFICATIE	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	0	1
2025	9575	Snijplanten < 5 jaar	SIERPLANTEN	MON_LC_BOUWLAND	MARKER_LANDCOVER bouwland	MON_CG_ANDERE_SUBSIDIABELE_GEWASSEN_SIERTEELT	Marker cropgroup andere_subsidiabele_gewassen_sierteelt	MON_OC_300	Monitoring organische koolstof aanvoer - 300	MON_VRU_ANDERE_SUBSIDIABEL	Monitoring vruchtafwisseling - andere subsidiabel	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_OCNT_300	Monitoring organische koolstof aanvoer nateelt - 300	MON_TEELTEN_LATE	monitoring late teelten	0	1	0	0	1	1	0
