YEAR	CROPCODE	CROP_DESC	MON_CG	MON_CG_DESC	MON_LC	MON_LC_DESC	LC_MIDDENDETA	LC_MIDDENDETA_DESC	MON_VROEG_LAAT	IS_VROEG	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL
2023	332	Zomerrogge	MON_ROGGE	Rogge	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	341	Winterhaver	MON_HAVER_WINTER	Haver winter	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	342	Zomerhaver	MON_HAVER	Haver	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	381	Sorghum	MON_SORGHUM	Sorghum	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	382	Quinoa	MON_QUINOA	Quinoa	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	383	Gierst	MON_PANICUM	Panicum	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	384	Kanariezaad	MON_PHALARIS	Phalaris	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	391	Mengteelt andere wintergranen en winterteelt vlinderbloemige	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	392	Mengteelt zomergranen en zomerteelt vlinderbloemige	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	395	Mengteelt wintertarwe of triticale en winterteelt vlinderbloemige	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	396	Mengteelt maïs en vlinderbloemige teelt	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	451	Wintervlas (olieproductie)	MON_VLAS_WINTER	Wintervlas	MON_TYPE_BOUWLAND	bouwland	LC_MD_VLAS_HENNEP	Vlas en hennep	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	511	Voedererwten (winterteelt) - niet menselijke consumptie	MON_ERWTEN	Erwten	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	512	Voedererwten (zomerteelt) - niet menselijke consumptie	MON_ERWTEN	Erwten	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	513	Drooggeoogste erwten (voor menselijke consumptie)	MON_ERWTEN	Erwten	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	521	Winterveldbonen - niet menselijke consumptie	MON_WIKKEN	Wikken	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	522	Zomerveldbonen - niet menselijke consumptie	MON_WIKKEN	Wikken	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	523	Drooggeoogste Vicia bonen (voor menselijke consumptie)	MON_WIKKEN	Wikken	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	524	Drooggeoogste Phaseolus bonen (voor menselijke consumptie)	MON_WIKKEN	Wikken	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	601	Zaaizaad grassen	MON_GRASSEN	Grassen	MON_TYPE_GRASSEN	grassen	LC_MD_GRASLAND	Grasland	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	602	Teeltmateriaal wijnstokken	MON_BOOMSIER	Boomkweek en sierplanten	MON_TYPE_BOOMSIER	boomkweek en sierplanten	LC_MD_HOUTACHTIG	Houtachtige gewassen	MON_TEELTEN_VROEGE	1	1	0	0	1	0
2023	603	Zaaizaad graangewassen	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	604	Zaaizaad olie- en vezelhoudende planten	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	605	Zaaizaad groenten	MON_ANDERE_SUBSIDIABELE_GEWASSEN_GROENTEN	Andere subsidiabele gewassen groenten - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_GROEN_KRU_SIE	Groenten, kruiden en sierplanten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	606	Zaaizaad voedergewassen	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_VOEDERGEWASSEN	Voedergewassen	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	634	Mengsel met overwegend Japanse haver en vlinderbloemigen	MON_HAVER	Haver	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	635	Mengsel met overwegend Japanse haver zonder vlinderbloemigen	MON_HAVER	Haver	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	638	Festulolium	MON_GRASSEN	Grassen	MON_TYPE_GRASSEN	grassen	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	0	1	1	1	0
2023	639	Snijrogge	MON_ROGGE	Rogge	MON_TYPE_BOUWLAND	bouwland	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	643	Gele mosterd	MON_GELE_MOSTERD	Gele mosterd	MON_TYPE_BOUWLAND	bouwland	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	644	Lupinen	MON_LUPINEN	Lupinen	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	645	Phacelia	MON_FACELIA	Facelia	MON_TYPE_BOUWLAND	bouwland	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	646	Tagetes (Afrikaantje)	MON_TAGETES_AFRIKAANTJE	Tagetes (Afrikaantje)	MON_TYPE_BOUWLAND	bouwland	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	647	Andere niet-vlinderbloemige groenbedekker	MON_ANDERE_SUBSIDIABELE_GEWASSEN_AKKERBOUW	Andere subsidiabele gewassen akkerbouw - gebruik: perceelsmonitoring	MON_TYPE_BOUWLAND	bouwland	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
2023	648	Andere vlinderbloemige groenbedekker	MON_VLINDERBLOEMIGEN	Vlinderbloemigen	MON_TYPE_VLINDERBLOEMIGEN	vlinderbloemigen	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_VROEGE	1	0	0	1	1	0
2023	649	Nyger	MON_NYGER	Nyger	MON_TYPE_BOUWLAND	bouwland	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	0	0	1	1	0
